Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OR770838,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-9,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770892,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-9,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770757,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-89,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770853,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-89,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770925,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-89,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770714,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-87,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770852,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-87,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770924,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-87,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770790,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-83,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770834,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-83,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770923,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-83,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770713,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-82,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770851,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-82,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770922,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-82,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770712,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-80,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770870,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-80,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770921,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-80,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770737,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-8,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770837,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-8,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770891,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-8,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770756,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-77,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770833,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-77,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770920,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-77,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770755,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-75,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770850,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-75,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770919,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-75,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770706,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-69,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770832,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-69,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770918,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-69,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770711,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-66,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770849,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-66,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770917,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-66,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770789,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-63,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770831,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-63,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770916,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-63,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770754,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-61,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770830,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-61,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770915,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-61,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770736,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-6,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770836,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-6,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770890,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-6,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770728,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-59,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770848,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-59,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770914,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-59,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770710,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-56,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770847,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-56,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770913,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-56,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770795,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-53,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770829,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-53,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770912,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-53,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770753,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-50,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770846,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-50,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770911,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-50,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770735,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-5,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770865,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-5,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770889,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-5,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770752,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-47,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770869,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-47,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770910,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-47,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770751,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-43,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770868,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-43,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770909,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-43,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770750,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-37,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770845,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-37,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770908,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-37,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770749,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-36,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770867,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-36,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770907,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-36,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770748,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-34,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770885,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-34,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770906,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-34,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770747,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-32,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770884,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-32,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770905,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-32,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770734,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-3,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770823,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-3,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770888,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-3,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770709,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-29,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770844,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-29,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770904,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-29,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770727,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-27,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770828,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-27,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770903,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-27,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770746,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-25,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770843,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-25,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770902,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-25,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770733,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-2,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770835,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-2,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770887,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-2,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770726,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-19,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770827,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-19,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770901,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-19,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770725,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-17,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770826,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-17,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770900,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-17,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770788,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-165,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770821,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-165,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770975,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-165,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770787,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-164,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770883,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-164,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770974,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-164,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770786,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-163,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770882,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-163,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770973,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-163,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770785,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-162,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770820,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-162,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770972,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-162,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770784,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-160,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770881,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-160,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770971,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-160,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770745,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-16,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770842,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-16,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770899,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-16,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770724,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-158,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770819,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-158,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770970,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-158,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770783,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-156,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770818,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-156,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770969,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-156,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770782,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-155,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770817,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-155,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770968,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-155,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770781,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-154,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770816,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-154,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
