tip,accession,lineage
OP751614_2016_07_01,OP751614,A
OP751619_2016_07_01,OP751619,A
OP751682_2016_07_01,OP751682,A
OP728376_2018_07_01,OP728376,A
OP728378_2018_07_01,OP728378,A
OP728403_2018_07_01,OP728403,A
OP728445_2018_07_01,OP728445,A
OP728407_2018_07_01,OP728407,A
OP751599_2016_07_01,OP751599,A
OP751570_2016_07_01,OP751570,A
OP728340_2018_07_01,OP728340,A
OP728437_2018_07_01,OP728437,A
OP728428_2018_07_01,OP728428,A
OP728438_2018_07_01,OP728438,A
OP728443_2018_07_01,OP728443,A
OP728356_2018_07_01,OP728356,A
OP728426_2018_07_01,OP728426,A
OP728433_2018_07_01,OP728433,A
KY549218_2009_07_01,KY549218,A
KY549317_2010_07_01,KY549317,A
PV051133_2024_07_01,PV051133,A
PV051142_2023_07_01,PV051142,A
KX947275_2014_07_01,KX947275,A
OP728339_2018_07_01,OP728339,A
OP728343_2018_07_01,OP728343,A
OP751662_2016_07_01,OP751662,A
OP728432_2018_07_01,OP728432,A
OP728342_2018_07_01,OP728342,A
OP728425_2018_07_01,OP728425,A
OP728427_2018_07_01,OP728427,A
OP728442_2018_07_01,OP728442,A
OP728449_2018_07_01,OP728449,A
OP728452_2018_07_01,OP728452,A
OP728379_2018_07_01,OP728379,A
OP728395_2018_07_01,OP728395,A
OP728447_2018_07_01,OP728447,A
OP728439_2018_07_01,OP728439,A
OP728390_2018_07_01,OP728390,A
OP751638_2016_07_01,OP751638,A
OP751639_2016_07_01,OP751639,A
OP728411_2018_07_01,OP728411,A
OP751565_2016_07_01,OP751565,A
OP728393_2018_07_01,OP728393,A
OP751642_2016_07_01,OP751642,A
OP728392_2018_07_01,OP728392,A
OP728416_2018_07_01,OP728416,A
OP728435_2018_07_01,OP728435,A
OP728406_2018_07_01,OP728406,A
OP728410_2018_07_01,OP728410,A
OP728454_2018_07_01,OP728454,A
OP751564_2016_07_01,OP751564,A
OP751567_2016_07_01,OP751567,A
OP728422_2018_07_01,OP728422,A
FJ610149_2008_07_01,FJ610149,B
PV051153_2021_07_01,PV051153,A
PV051167_2021_07_01,PV051167,A
KP212151_2010_03_03,KP212151,A
KY994539_2014_02_11,KY994539,Unknown
OP751630_2016_07_01,OP751630,A
OP728456_2018_07_01,OP728456,A
OP751555_2016_07_01,OP751555,A
OP751625_2016_07_01,OP751625,A
OP751556_2016_07_01,OP751556,A
OP751641_2016_07_01,OP751641,A
KP212150_2010_02_10,KP212150,A
PQ720440_2015_07_01,PQ720440,Unknown
PV051150_2018_07_01,PV051150,A
KY549227_2009_07_01,KY549227,A
PV051161_2021_07_01,PV051161,A
PV051163_2021_07_01,PV051163,A
LC888266_2022_07_01,LC888266,A
PV051134_2024_07_01,PV051134,A
OP751629_2016_07_01,OP751629,A
PV051160_2021_07_01,PV051160,A
PV051119_2021_07_01,PV051119,A
KY549174_2008_07_01,KY549174,A
KY549202_2009_07_01,KY549202,A
KY549201_2008_07_01,KY549201,A
KP212152_2010_05_12,KP212152,A
KY549291_2010_07_01,KY549291,A
KP212153_2010_05_18,KP212153,A
KY549286_2009_07_01,KY549286,A
PV051144_2023_07_01,PV051144,A
PV358396_2022_07_01,PV358396,Unknown
KY549261_2008_07_01,KY549261,A
LC888272_2024_07_01,LC888272,A
KY549215_2009_07_01,KY549215,A
KY549314_2008_07_01,KY549314,A
LC786758_2021_07_01,LC786758,A
OP728434_2018_07_01,OP728434,A
OP751675_2016_07_01,OP751675,A
KX947269_2014_07_01,KX947269,D
OP728370_2018_07_01,OP728370,A
PV051129_2023_07_01,PV051129,A
KY549178_2008_07_01,KY549178,A
OP751589_2016_07_01,OP751589,A
KX947270_2014_07_01,KX947270,D
KY549266_2009_07_01,KY549266,A
KY549159_2008_07_01,KY549159,A
KY549180_2008_07_01,KY549180,A
KP212157_2011_08_11,KP212157,A
OP728444_2018_07_01,OP728444,A
KY549182_2008_07_01,KY549182,A
KY549301_2009_07_01,KY549301,A
KY549268_2009_07_01,KY549268,A
PV051157_2021_07_01,PV051157,A
LC888265_2022_07_01,LC888265,A
PV051148_2024_07_01,PV051148,A
LC888267_2022_07_01,LC888267,A
OP728341_2018_07_01,OP728341,A
OP728345_2018_07_01,OP728345,A
OP728450_2018_07_01,OP728450,A
OP751560_2016_07_01,OP751560,A
OP751574_2016_07_01,OP751574,A
OP728349_2018_07_01,OP728349,A
OP728455_2018_07_01,OP728455,A
OP751602_2016_07_01,OP751602,A
OP728402_2018_07_01,OP728402,A
KY549183_2008_07_01,KY549183,A
KY549236_2011_07_01,KY549236,A
PV051123_2023_07_01,PV051123,A
PV051149_2017_07_01,PV051149,A
PV051131_2024_07_01,PV051131,A
PV051137_2024_07_01,PV051137,A
PV051140_2023_07_01,PV051140,A
PV051168_2024_07_01,PV051168,A
KY549213_2009_07_01,KY549213,A
KY549293_2009_07_01,KY549293,A
KY549297_2009_07_01,KY549297,A
KY549319_2009_07_01,KY549319,A
KY549220_2010_07_01,KY549220,A
KY549304_2010_07_01,KY549304,A
OP728368_2018_07_01,OP728368,A
OP751596_2016_07_01,OP751596,A
OP751610_2016_07_01,OP751610,A
OP728399_2018_07_01,OP728399,A
OP728366_2018_07_01,OP728366,A
OP751670_2016_07_01,OP751670,A
OP751553_2016_07_01,OP751553,A
OP728352_2018_07_01,OP728352,A
OP751606_2016_07_01,OP751606,A
OP751672_2016_07_01,OP751672,A
OP751597_2016_07_01,OP751597,A
OP751581_2016_07_01,OP751581,A
OP751683_2016_07_01,OP751683,A
OP751577_2016_07_01,OP751577,A
OP728386_2018_07_01,OP728386,A
OP728446_2018_07_01,OP728446,A
OP751566_2016_07_01,OP751566,A
OP751571_2016_07_01,OP751571,A
OP751643_2016_07_01,OP751643,A
OP728360_2018_07_01,OP728360,A
OP728418_2018_07_01,OP728418,A
OP728398_2018_07_01,OP728398,A
OP728346_2018_07_01,OP728346,A
OP728348_2018_07_01,OP728348,A
OP751590_2016_07_01,OP751590,A
OP751595_2016_07_01,OP751595,A
OP751660_2016_07_01,OP751660,A
OP751663_2016_07_01,OP751663,A
OP751664_2016_07_01,OP751664,A
OP751594_2016_07_01,OP751594,A
OP751621_2016_07_01,OP751621,A
OP751572_2016_07_01,OP751572,A
OP751657_2016_07_01,OP751657,A
OP751579_2016_07_01,OP751579,A
OP751627_2016_07_01,OP751627,A
OP751593_2016_07_01,OP751593,A
OP728344_2018_07_01,OP728344,A
OP728453_2018_07_01,OP728453,A
OP728441_2018_07_01,OP728441,A
OP728405_2018_07_01,OP728405,A
OP751569_2016_07_01,OP751569,A
OP751644_2016_07_01,OP751644,A
OP728347_2018_07_01,OP728347,A
OP728400_2018_07_01,OP728400,A
OP728419_2018_07_01,OP728419,A
OP728397_2018_07_01,OP728397,A
OP751645_2016_07_01,OP751645,A
OP751635_2016_07_01,OP751635,A
OP728424_2018_07_01,OP728424,A
OP728430_2018_07_01,OP728430,A
KY549189_2008_07_01,KY549189,A
OP728367_2018_07_01,OP728367,A
OP751626_2016_07_01,OP751626,A
OP751632_2016_07_01,OP751632,A
OP751605_2016_07_01,OP751605,A
OP728436_2018_07_01,OP728436,A
KU684312_2011_07_01,KU684312,A
KX947273_2014_07_01,KX947273,D
KX947274_2014_07_01,KX947274,D
PV051166_2021_07_01,PV051166,A
OP728429_2018_07_01,OP728429,A
KY549177_2008_07_01,KY549177,A
KY549181_2008_07_01,KY549181,A
KX947272_2014_07_01,KX947272,D
PV051152_2021_07_01,PV051152,A
KX947271_2014_07_01,KX947271,D
MZ447800_2018_11_15,MZ447800,A
KY549156_2008_07_01,KY549156,A
KY549173_2008_07_01,KY549173,A
PV051141_2023_07_01,PV051141,A
LC718895_2021_07_01,LC718895,A
PV051156_2021_07_01,PV051156,A
OP728420_2018_07_01,OP728420,A
LC888270_2023_07_01,LC888270,A
FJ610146_2008_07_01,FJ610146,A
FJ610152_2008_07_01,FJ610152,D
KY549163_2008_07_01,KY549163,A
KY549169_2008_07_01,KY549169,A
KY549179_2008_07_01,KY549179,A
KY549204_2009_07_01,KY549204,A
PV051122_2021_07_01,PV051122,A
PV051130_2023_07_01,PV051130,A
KY549176_2008_07_01,KY549176,A
OP728369_2018_07_01,OP728369,A
OP728385_2018_07_01,OP728385,A
OP728448_2018_07_01,OP728448,A
OP751668_2016_07_01,OP751668,A
OP728461_2018_07_01,OP728461,A
OP728394_2018_07_01,OP728394,A
OP751640_2016_07_01,OP751640,A
OP751580_2016_07_01,OP751580,A
OP751680_2016_07_01,OP751680,A
OP751573_2016_07_01,OP751573,A
OP751585_2016_07_01,OP751585,A
KP212155_2011_07_04,KP212155,A
OP728414_2018_07_01,OP728414,A
OP728459_2018_07_01,OP728459,A
KY549170_2008_07_01,KY549170,A
LC718897_2021_07_01,LC718897,A
KY549242_2010_07_01,KY549242,A
KY549260_2010_07_01,KY549260,A
KY549192_2008_07_01,KY549192,A
KY549238_2010_07_01,KY549238,A
MH892050_2017_06_15,MH892050,A
PV353981_2021_02_22,PV353981,A
OP728351_2018_07_01,OP728351,A
OP728357_2018_07_01,OP728357,A
OP728383_2018_07_01,OP728383,A
OP751611_2016_07_01,OP751611,A
OP728417_2018_07_01,OP728417,A
OP728431_2018_07_01,OP728431,A
OP728388_2018_07_01,OP728388,A
KY549278_2008_07_01,KY549278,A
KY549256_2009_07_01,KY549256,A
KY549279_2008_07_01,KY549279,A
OP751598_2016_07_01,OP751598,A
OP751631_2016_07_01,OP751631,A
OP751677_2016_07_01,OP751677,A
OP751622_2016_07_01,OP751622,A
OP751637_2016_07_01,OP751637,A
PV051128_2023_07_01,PV051128,A
PV051162_2018_07_01,PV051162,A
KY549158_2008_07_01,KY549158,A
KY549197_2008_07_01,KY549197,A
PV051136_2023_07_01,PV051136,A
KY549168_2008_07_01,KY549168,A
KY549240_2009_07_01,KY549240,A
KY549217_2009_07_01,KY549217,A
KY549243_2008_07_01,KY549243,A
OP728358_2018_07_01,OP728358,A
OP751584_2016_07_01,OP751584,A
OP751608_2016_07_01,OP751608,A
OP751628_2016_07_01,OP751628,A
OP728359_2018_07_01,OP728359,A
OP751634_2016_07_01,OP751634,A
OP728408_2018_07_01,OP728408,A
OP751558_2016_07_01,OP751558,A
OP751655_2016_07_01,OP751655,A
OP751674_2016_07_01,OP751674,A
OP751673_2016_07_01,OP751673,A
OP728373_2018_07_01,OP728373,A
OP728413_2018_07_01,OP728413,A
OP728401_2018_07_01,OP728401,A
OP751615_2016_07_01,OP751615,A
OP751568_2016_07_01,OP751568,A
OP751649_2016_07_01,OP751649,A
PV051147_2024_07_01,PV051147,A
FJ610150_2008_07_01,FJ610150,C
JQ004096_2010_07_01,JQ004096,A
LC718900_2021_07_01,LC718900,A
LC786753_2021_07_01,LC786753,A
LC786755_2021_07_01,LC786755,A
LC888271_2024_07_01,LC888271,A
KF954093_2013_07_01,KF954093,A
LC718899_2020_07_01,LC718899,A
LC786756_2021_07_01,LC786756,A
LC786759_2022_07_01,LC786759,A
JQ004094_2010_07_01,JQ004094,A
JQ004099_2010_07_01,JQ004099,A
PV051159_2021_07_01,PV051159,A
KY549157_2008_07_01,KY549157,A
LC786760_2022_07_01,LC786760,A
PV051154_2021_07_01,PV051154,A
PV051155_2021_07_01,PV051155,A
LC718903_2021_07_01,LC718903,A
KC935953_2012_07_01,KC935953,A
KY549195_2008_07_01,KY549195,A
OP728423_2018_07_01,OP728423,A
MK484705_2018_07_01,MK484705,A
MW320358_2017_06_15,MW320358,A
PV012262_2024_01_15,PV012262,A
LC718898_2021_07_01,LC718898,A
LC718902_2021_07_01,LC718902,A
LC888268_2023_07_01,LC888268,A
OP728451_2018_07_01,OP728451,A
OP728372_2018_07_01,OP728372,A
KY549190_2008_07_01,KY549190,A
HM057182_2007_03_15,HM057182,A
LC786754_2021_07_01,LC786754,A
OP971070_2016_07_29,OP971070,A
OP728374_2018_07_01,OP728374,A
OP751600_2016_07_01,OP751600,A
OP751665_2016_07_01,OP751665,A
OP751587_2016_07_01,OP751587,A
JQ004095_2010_07_01,JQ004095,A
JQ004097_2010_07_01,JQ004097,A
JQ004098_2010_07_01,JQ004098,A
KP212159_2011_12_01,KP212159,A
KP212156_2011_08_11,KP212156,A
PX461756_2022_07_01,PX461756,A
KY549315_2009_07_01,KY549315,A
PV051120_2023_07_01,PV051120,A
KP212154_2010_11_24,KP212154,A
KP212158_2011_11_07,KP212158,A
KU684313_2010_07_01,KU684313,A
KU684314_2004_07_01,KU684314,A
KX947284_2014_07_01,KX947284,A
KX947285_2014_07_01,KX947285,A
PX461754_2022_07_01,PX461754,A
KY549208_2009_07_01,KY549208,A
OP751648_2016_07_01,OP751648,A
OP751656_2016_07_01,OP751656,A
PV051127_2020_07_01,PV051127,A
OP751646_2016_07_01,OP751646,A
KU641509_2004_07_01,KU641509,D
KU684311_2011_07_01,KU684311,A
OP728391_2018_07_01,OP728391,A
OP971046_2017_02_02,OP971046,A
OP971080_2017_05_23,OP971080,A
OP751633_2016_07_01,OP751633,A
KX947283_2014_07_01,KX947283,A
KY549209_2009_07_01,KY549209,A
KY549210_2009_07_01,KY549210,A
KY549284_2008_07_01,KY549284,A
OP751681_2016_07_01,OP751681,A
KY549212_2009_07_01,KY549212,A
OP971067_2017_09_13,OP971067,A
KY549263_2009_07_01,KY549263,A
OP751557_2016_07_01,OP751557,A
OP751659_2016_07_01,OP751659,A
PV051126_2023_07_01,PV051126,A
KY549231_2008_07_01,KY549231,A
PV051158_2021_07_01,PV051158,A
OP711986_2017_08_15,OP711986,Unknown
OP712079_2017_08_15,OP712079,A
OP712021_2017_08_15,OP712021,A
OP712041_2017_08_15,OP712041,A
OP712097_2017_08_15,OP712097,A
PV051145_2023_07_01,PV051145,A
